Document identifier,topic-00,topic-01,topic-02,topic-03,topic-04,topic-05,topic-06,topic-07,topic-08,topic-09,topic-10,topic-11,topic-12,topic-13,topic-14,topic-15,topic-16,topic-17,topic-18,topic-19,topic-20,topic-21,topic-22,topic-23,topic-24,topic-25,topic-26,topic-27,topic-28,topic-29
Ash(mask)-0018,0.0009691388,0.0007800134,0.0002568546,9.04275910977266E-005,0.0130841976,0.0988653125,0.000446383,0.0016078522,0.0003057436,0.0003486426,0.0002567647,0.0006502682,0.0005702066,0.0009816971,0.0003557385,0.0004809941,0.0003559724,0.0003942216,0.7597118411,0.0987120956,0.000385998,0.0154637734,0.0007978468,0.0006892409,0.0003910248,0.0004203823,0.0008464496,0.001044093,0.0003924115,0.0003444137
Ash(mask)-0019,0.0012618014,0.0010155635,0.0003344201,0.0001177351,0.01703539,0.0015705348,0.0005811826,0.0020933946,0.0003980727,0.0004539264,0.000334303,0.0008466376,0.0007423987,0.001278152,0.0004631651,0.0006262456,0.9064095323,0.0005132694,0.0037161427,0.0331586303,0.0005025625,0.0042397643,0.0169325728,0.0008973793,0.0005091073,0.0005473301,0.0011020622,0.0013593904,0.0005109127,0.0004484204
Ash(mask)-0020,0.0013032278,0.0010489057,0.0003453995,0.0001216005,0.0011790796,0.0016220974,0.0006002635,0.0021621233,0.0004111419,0.0004688294,0.0003452786,0.0008744337,0.0007667726,0.0013201153,0.0004783714,0.000646806,0.4765311695,0.0005301206,0.0038381481,0.0014160624,0.0005190623,0.0700413724,0.4278785616,0.0009268413,0.0005258219,0.0005652996,0.0011382442,0.0014040208,0.0005276866,0.0004631426
Ash(mask)-0021,0.001370732,0.0011032365,0.0003632904,0.0001278991,0.0012401531,0.0017061183,0.0006313558,0.0022741163,0.0004324381,0.0004931136,0.0003631632,0.0009197273,0.0008064896,0.0013884942,0.0005031499,0.0006803091,0.0005034807,0.0005575797,0.0731005273,0.0014894111,0.0005459485,0.0046057809,0.8816890033,0.0009748495,0.0005530583,0.0178604739,0.0011972026,0.0014767458,0.0005550195,0.0004871323
Ash(mask)-0022,0.0016567919,0.0013334725,0.000439106,0.0001545905,0.0014989624,0.0020621704,0.0007631143,0.0236178403,0.0005226841,0.0005960222,0.0004389522,0.0011116665,0.000974797,0.0016782609,0.000608153,0.0008222837,0.0006085528,0.0006739417,0.0048794329,0.0018002383,0.0006598832,0.0055669676,0.9404750635,0.0011782922,0.0006684768,0.0007186647,0.0014470485,0.0017849299,0.0006708473,0.0005887926
Ash(mask)-0023,0.0017289555,0.0013915535,0.0004582318,0.0001613239,0.0015642515,0.0021519908,0.0007963526,0.2424277103,0.0005454503,0.0006219827,0.0004580713,0.0011600865,0.0010172555,0.0017513596,0.0006346418,0.0008580993,0.0006350591,0.0007032961,0.0050919627,0.0018786499,0.0006886252,0.2235906095,0.5023200499,0.0012296142,0.0006975931,0.0007499671,0.0015100765,0.0018626747,0.0007000668,0.0006144382
Ash(mask)-0024,0.0053218546,0.0042833059,0.0014104719,0.0004965671,0.0048148833,0.0066239887,0.0024512331,0.0758639095,0.0016789369,0.0019145093,0.0014099779,0.0035708331,0.0031311887,0.0053908161,0.0019534751,0.0026412939,0.8063708432,0.002164798,0.0156734424,0.0057826252,0.00211964,0.0178819028,0.0043812348,0.0037848445,0.0021472438,0.0023084548,0.0046481284,0.0057334523,0.0021548582,0.0018912868
BL2819(1)-0001,0.0066615113,0.0053615314,0.0017655263,0.0006215667,0.0060269215,0.0082914283,0.0030682757,0.2627792133,0.0021015713,0.0023964437,0.001764908,0.0044697097,0.2556468113,0.1745661101,0.0024452183,0.00330618,0.0024468258,0.002709737,0.0196188775,0.0072382705,0.0026532115,0.022383268,0.0054841117,0.0047375936,0.1705060416,0.0028895562,0.0058181898,0.0071767194,0.002697295,0.0023673755
BL37232-0001,0.0235070721,0.0013915535,0.0004582318,0.0001613239,0.0015642515,0.0021519908,0.0007963526,0.0028684279,0.0005454503,0.0006219827,0.0004580713,0.5891692342,0.0010172555,0.0017513596,0.0006346418,0.0008580993,0.0006350591,0.0007032961,0.1139825456,0.0889911163,0.0006886252,0.1582562598,0.0014233685,0.0012296142,0.0006975931,0.0007499671,0.0015100765,0.0018626747,0.0007000668,0.0006144382
BL37232-0002,0.0416563972,0.0012800456,0.0004215128,0.0001483967,0.001438905,0.0019795475,0.0007325393,0.0026385751,0.0005017423,0.000572142,0.0004213652,0.0010671265,0.0009357408,0.0016110197,0.0005837867,0.0007893381,0.0005841705,0.0006469396,0.0046839336,0.6027179043,0.0006334443,0.3058388187,0.0013093112,0.0011310828,0.0006416936,0.0006898707,0.0013890711,0.0017134149,0.0006439691,0.0205981952
